Nombre,Universidad,País,Areas,Documentos por  autor,Total de citas,H-Index,Citas por documento
"Cull, Nicholas J.",University of Southern California, United States ,"Arts and Humanities, Social Sciences, Business, Management and Accounting, Environmental Science, Agricultural and Biological Sciences",50,555,10,495
"Zubiaga, Arkaitz",Queen Mary, United Kingdom ,"Computer Science, Social Sciences, Arts and Humanities, Engineering, Mathematics, Decision Sciences, Medicine, Agricultural and Biological Sciences, Business, Management and Accounting, Biochemistry, Genetics and Molecular Biology",56,852,16,697
"Khodabakhsh, Ali",Norges Teknisk-Naturvitenskapelige Universitet, Norway ,"Computer Science, Engineering, Physics and Astronomy, Medicine, Biochemistry, Genetics and Molecular Biology, Mathematics",20,113,5,99
"Bastos, Marco T.",City, United Kingdom ,"Social Sciences, Computer Science, Engineering, Arts and Humanities, Medicine, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Decision Sciences, Psychology, Physics and Astronomy, Mathematics, ",29,315,9,271
"Zubiaga, Arkaitz",Queen Mary, United Kingdom ,"Computer Science, Social Sciences, Arts and Humanities, Engineering, Mathematics, Decision Sciences, Medicine, Agricultural and Biological Sciences, Business, Management and Accounting, Biochemistry, Genetics and Molecular Biology",56,852,16,697
"Khodabakhsh, Ali",Norges Teknisk-Naturvitenskapelige Universitet, Norway ,"Computer Science, Engineering, Physics and Astronomy, Medicine, Biochemistry, Genetics and Molecular Biology, Mathematics",20,113,5,99
"D’Andrea, Eleonora",Università di Pisa, Italy ,"Computer Science, Engineering, Physics and Astronomy, Chemistry, Social Sciences, Mathematics, Decision Sciences, Business, Management and Accounting",24,383,8,356
"Bastos, Marco T.",City, United Kingdom ,"Social Sciences, Computer Science, Engineering, Arts and Humanities, Medicine, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Decision Sciences, Psychology, Physics and Astronomy, Mathematics, ",29,315,9,271
"Cull, Nicholas J.",University of Southern California, United States ,"Arts and Humanities, Social Sciences, Business, Management and Accounting, Environmental Science, Agricultural and Biological Sciences",50,555,10,495
"Dias da Silva, Marco Antônio",Universidade Federal de Campina Grande, Brazil ,"Dentistry, Medicine, Social Sciences, Biochemistry, Genetics and Molecular Biology, Multidisciplinary",14,205,8,177
