Autor,Research ID,Orcid ID
"Tsarwe, S",NA,NA
"Figueira, J",NA,NA
"Santos, S",NA,NA
"Rodriguez-Fernandez, L",NA,NA
"Cull, NJ",NA,0000-0003-0716-8079
"Ab Kadir, K",NA,NA
"Ashaari, NS",NA,NA
"Judi, HM",NA,NA
"Walker, CR",NA,NA
"Terp, SJ",NA,NA
"Breuer, PC",NA,NA
"Crooks, CL",NA,NA
"Herrero-Diz, P",NA,NA
"Conde-Jimenez, J",NA,NA
"Tapia-Frade, A",NA,NA
"Varona-Aramburu, D",NA,NA
"Gualda, E",NA,NA
"Ruas, J",NA,NA
"Zubiaga, A",H-3808-2019,0000-0003-4583-3623
"Aker, A",NA,NA
"Bontcheva, K",NA,NA
"Liakata, M",NA,NA
"Procter, R",NA,NA
"Bennett, WL",NA,NA
"Livingston, S",NA,NA
"Khodabakhsh, A",W-2446-2019,0000-0002-2873-4140
"Ramachandra, R",NA,NA
"Busch, C",NA,NA
"Odlerova, E",NA,NA
"Hyllova, K",NA,NA
"Szostek, J",NA,NA
"Kumar, KPK",NA,NA
"Srivastava, A",NA,NA
"Geethakumari, G",NA,NA
"Kumar, S",NA,NA
"West, R",NA,NA
"Leskovec, J",NA,NA
"Yang, YK",NA,NA
"Niu, K",NA,NA
"He, ZQ",NA,NA
"Beskow, DM",NA,0000-0003-2814-8712
"Carley, KM",NA,NA
"Papadopoulou, O",NA,NA
"Zampoglou, M",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Kompatsiaris, I",NA,NA
"Zhou, XY",NA,NA
"Zafarani, R",NA,NA
"Bastos, M",D-4616-2013,0000-0003-0480-1078
"Mercea, D",NA,NA
"Zubiaga, A",H-3808-2019,0000-0003-4583-3623
"Aker, A",NA,NA
"Bontcheva, K",NA,NA
"Liakata, M",NA,NA
"Procter, R",NA,NA
"Lorimer, PAK",NA,NA
"Diec, VMF",NA,NA
"Kantarci, B",NA,NA
"Xu, HL",NA,NA
"Guan, BY",NA,NA
"Liu, PC",NA,NA
"Escudero, W",NA,NA
"Hu, LT",NA,NA
"Khodabakhsh, A",W-2446-2019,0000-0002-2873-4140
"Ramachandra, R",NA,NA
"Busch, C",NA,NA
"Soe, SO",NA,NA
"D'Andrea, E",P-2628-2016,0000-0002-6959-886X
"Ducange, P",S-3955-2019,NA
"Marcelloni, F",NA,NA
"Peng, R",NA,NA
"Zhai, QQ",NA,NA
"Levitin, G",NA,NA
"Kantarci, B",NA,0000-0003-0220-7956
"Carr, KG",NA,NA
"Pearsall, CD",NA,NA
"Kumar, S",NA,NA
"West, R",NA,NA
"Leskovec, J",NA,NA
"Yang, YK",NA,NA
"Niu, K",NA,NA
"He, ZQ",NA,NA
"Yucel, C",NA,NA
"Koltuksuz, A",NA,NA
"Cushion, S",NA,NA
"Jackson, D",NA,NA
"Aparici, R",NA,NA
"Garcia-Marin, D",NA,NA
"Rincon-Manzano, L",NA,NA
"Rodriguez-Ferrandiz, R",NA,NA
"Iyengar, S",NA,NA
"Massey, DS",NA,NA
"Scheufele, DA",A-8737-2008,0000-0002-9914-5407
"Krause, NM",NA,NA
"Tabassum, A",NA,NA
"Mustafa, MS",NA,NA
"Maadeed, SA",NA,NA
"Froehlich, TJ",NA,NA
"Supran, G",NA,NA
"Oreskes, N",NA,NA
"Hrckova, A",NA,NA
"Srba, I",NA,NA
"Moro, R",NA,NA
"Blaho, R",NA,NA
"Simko, J",NA,NA
"Navrat, P",NA,NA
"Bielikova, M",NA,NA
"Tandoc, EC",NA,NA
"Lim, D",NA,NA
"Ling, R",NA,NA
"Cushion, S",NA,NA
"Jackson, D",NA,NA
"Colliander, J",NA,NA
"Napoli, PM",NA,NA
"Acker, A",NA,NA
"Donovan, J",NA,NA
"Van Heekeren, M",NA,NA
"Wasserman, H",NA,NA
"Madrid-Morales, D",NA,NA
"Bruns, A",NA,NA
"Bastos, M",D-4616-2013,0000-0003-0480-1078
"Farkas, J",NA,NA
"Tsarwe, S",NA,NA
"King, K",NA,NA
"Dawson, A",NA,NA
"Innes, M",NA,NA
"Hemphill, TA",NA,NA
"Aparici, R",NA,NA
"Garcia-Marin, D",NA,NA
"Rincon-Manzano, L",NA,NA
"Bernal-Trivino, A",NA,NA
"Clares-Gavilan, J",NA,NA
"Blanco-Herrero, D",NA,NA
"Arcila-Calderon, C",NA,NA
"Figueira, J",NA,NA
"Santos, S",NA,NA
"Lopez-Olano, C",NA,NA
"Fenoll, V",NA,NA
"Rodriguez-Fernandez, L",NA,NA
"Rodriguez-Ferrandiz, R",NA,NA
"Rodriguez-Serrano, A",NA,NA
"Garcia-Catalan, S",NA,NA
"Martin-Nunez, M",NA,NA
"Scheufele, DA",A-8737-2008,0000-0002-9914-5407
"Krause, NM",NA,NA
"Cull, NJ",NA,0000-0003-0716-8079
"Duncombe, C",NA,NA
"da Silva, MAD",K-4730-2012,0000-0002-2774-4769
"Walmsley, AD",V-8585-2018,NA
"Zuk, P",NA,NA
"Zuk, P",NA,NA
"Lisiewicz-Jakubaszko, J",NA,NA
"Beskow, DM",NA,0000-0003-2814-8712
"Carley, KM",NA,NA
"Babcock, M",NA,NA
"Cox, RAV",NA,NA
"Kumar, S",NA,NA
"Nikolov, D",NA,NA
"Lalmas, M",NA,NA
"Flammini, A",NA,NA
"Menczer, F",NA,NA
"Papadopoulou, O",NA,NA
"Zampoglou, M",NA,NA
"Papadopoulos, S",NA,0000-0002-5441-7341
"Kompatsiaris, I",NA,NA
"Ab Kadir, K",NA,NA
"Ashaari, NS",NA,NA
"Judi, HM",NA,NA
"Cosentino, G",NA,NA
"Alikasifoglu, B",NA,NA
"Pal, A",NA,NA
"Chua, AYK",NA,NA
"Badawy, A",NA,NA
"Lerman, K",NA,NA
"Ferrara, E",NA,NA
"Zannettou, S",NA,NA
"Caulfield, T",NA,NA
"De Cristofaro, E",NA,NA
"Sirivianos, M",NA,NA
"Stringhini, G",NA,NA
"Blackburn, J",NA,NA
"Poole, E",NA,NA
"Giraud, E",NA,NA
"de Quincey, E",NA,NA
"Gualda, E",NA,NA
"Ruas, J",NA,NA
"Glensli, M",NA,NA
"Wertingea, T",NA,NA
"Volkova, S",NA,NA
"Chadwick, A",NA,NA
"Vaccari, C",NA,NA
"O'Loughlin, B",NA,NA
"Bastos, M",D-4616-2013,0000-0003-0480-1078
"Mercea, D",NA,NA
"Ziegler, CE",NA,NA
"Golovchenko, Y",NA,0000-0003-3292-7372
"Hartmann, M",NA,NA
"Adler-Nissen, R",NA,NA
"Al Khaja, KAJ",NA,0000-0001-6591-7686
"AlKhaja, AK",NA,NA
"Sequeira, RP",NA,NA
"Gilchrist, A",NA,NA
"Zubiaga, A",H-3808-2019,0000-0003-4583-3623
"Aker, A",NA,NA
"Bontcheva, K",NA,NA
"Liakata, M",NA,NA
"Procter, R",NA,NA
"Sampson, JP",NA,NA
"Osborn, DS",NA,NA
"Kettunen, J",J-2822-2016,0000-0002-9285-9693
"Hou, PC",NA,NA
"Miller, AK",NA,NA
"Makela, JP",NA,NA
"Ross, AS",V-4263-2019,0000-0001-7005-9962
"Rivers, DJ",NA,NA
"Farkas, J",NA,0000-0003-2272-7174
"Schou, J",NA,NA
"Neumayer, C",NA,NA
"Bennett, WL",NA,NA
"Livingston, S",NA,NA
"Lorimer, PAK",NA,NA
"Diec, VMF",NA,NA
"Kantarci, B",NA,NA
"Borkert, M",NA,NA
"Fisher, KE",NA,NA
"Yafi, E",NA,NA
"Bevensee, E",NA,NA
"Ross, AR",NA,NA
"Isle, B",NA,NA
"Smith, T",NA,NA
"Nestoras, A",NA,NA
"Smith, TD",NA,NA
"Malita, L",NA,NA
"Grosseck, G",NA,NA
"Benkova, Z",NA,NA
"Khodabakhsh, A",W-2446-2019,0000-0002-2873-4140
"Ramachandra, R",NA,NA
"Busch, C",NA,NA
"Rychnovska, D",NA,NA
"Kohut, M",NA,NA
"Andelova, L",NA,NA
"Hussain, MN",NA,NA
"Tokdemir, S",NA,NA
"Agarwal, N",NA,NA
"Al-khateeb, S",K-2569-2018,0000-0001-6327-5720
"Guarda, RF",NA,NA
"Ohlson, MP",NA,NA
"Romanini, AV",NA,NA
"Kaleda, K",NA,NA
