World Rank,Institution,País,National/Regional Rank,Total Score
1,Harvard University,USA,1,100.0
2,Stanford University,USA,2,75.1
3,University of Cambridge,UK,1,72.3
4,Massachusetts Institute of Technology (MIT),USA,3,69.0
5,"University of California, Berkeley",USA,4,67.9
6,Princeton University,USA,5,60.0
7,University of Oxford,UK,2,59.7
8,Columbia University,USA,6,59.1
9,California Institute of Technology,USA,7,58.6
10,University of Chicago,USA,8,55.1
11,"University of California, Los Angeles",USA,9-10,50.8
11,Yale University,USA,9-10,50.8
13,Cornell University,USA,11,49.8
14,University of Washington,USA,12,48.7
15,University College London,UK,3,47.9
16,Johns Hopkins University,USA,13,47.6
17,University of Pennsylvania,USA,14,47.3
18,"University of California, San Diego",USA,15,47.1
19,Swiss Federal Institute of Technology Zurich,Switzerland,1,46.1
20,"University of California, San Francisco",USA,16-17,42.2
20,University of Michigan-Ann Arbor,USA,16-17,42.2
22,Washington University in St. Louis,USA,18,41.7
23,Imperial College London,UK,4,41.6
24,University of Toronto,Canada,1,41.4
25,The University of Tokyo,Japan,1,40.7
26,University of Copenhagen,Denmark,1,40.2
27,University of Wisconsin - Madison,USA,19,38.8
28,Duke University,USA,20,38.6
29,Northwestern University,USA,21,38.4
30,New York University,USA,22,38.1
31,The University of Edinburgh,UK,5,37.4
32,Kyoto University,Japan,2,37.0
33,The University of Manchester,UK,6,36.9
33,University of North Carolina at Chapel Hill,USA,23,36.9
35,Rockefeller University,USA,24,36.2
35,University of British Columbia,Canada,2,36.2
37,University of Paris-Sud (Paris 11),France,1,36.1
38,Karolinska Institute,Sweden,1,35.8
38,University of Colorado at Boulder,USA,25-26,35.8
38,University of Illinois at Urbana-Champaign,USA,25-26,35.8
41,The University of Melbourne,Australia,1,35.7
41,"University of Minnesota, Twin Cities",USA,27,35.7
43,Tsinghua University,China,1,35.4
44,Sorbonne University,France,2,35.1
45,The University of Texas at Austin,USA,28,34.3
46,"University of Maryland, College Park",USA,29,33.7
47,Heidelberg University,Germany,1,33.3
48,"University of California, Santa Barbara",USA,30,33.2
49,The University of Texas Southwestern Medical Center at Dallas,USA,31,32.8
49,Utrecht University,Netherlands,1,32.8
51,King's College London,UK,7,32.4
52,University of Munich,Germany,2,32.3
53,Peking University,China,2,32.2
54,The University of Queensland,Australia,2,31.8
55,University of Southern California,USA,32-33,31.7
55,Vanderbilt University,USA,32-33,31.7
57,Technical University Munich,Germany,3,31.2
58,University of Geneva,Switzerland,2,31.1
59,University of Oslo,Norway,1,31.0
60,Aarhus University,Denmark,2,30.9
61,University of Zurich,Switzerland,3,30.8
62,Uppsala University,Sweden,2,30.5
63,University of Helsinki,Finland,1,30.3
64,University of Bristol,UK,8,29.9
65,University of Groningen,Netherlands,2,29.6
66,Ghent University,Belgium,1,29.3
67,National University of Singapore,Singapore,1,29.2
68,Erasmus University Rotterdam,Netherlands,3,29.1
68,The University of Texas M. D. Anderson Cancer Center,USA,34,29.1
70,University of Bonn,Germany,4,29.0
70,Zhejiang University,China,3,29.0
72,Purdue University - West Lafayette,USA,35,28.5
73,Monash University,Australia,3,28.4
